Species,Translocation,Fragment,Treatment,Day,Time,    F,  Fm', Yield,    qP
Porites astreoides ,Acer24 to Birthday,4,32C+LPS,Before,Noon,36,160,0.775,0.918
Porites astreoides ,Acer24 to Birthday,4,32C+LPS,Before,Noon,31,69,0.55,0.863
Porites astreoides ,Acer24 to Birthday,4,32C+LPS,Before,Noon,31,134,0.768,0.944
Porites astreoides ,Acer24 to Birthday,5,32C+LPS,Before,Noon,26,110,0.763,0.988
Porites astreoides ,Acer24 to Birthday,5,32C+LPS,Before,Noon,29,113,0.743,0.954
Porites astreoides ,Acer24 to Birthday,5,32C+LPS,Before,Noon,48,174,0.724,0.845
Porites astreoides ,Acer24 to Birthday,6,32C+LPS,Before,Noon,23,206,0.888,1.011
Porites astreoides ,Acer24 to Birthday,6,32C+LPS,Before,Noon,39,129,0.697,0.865
Porites astreoides ,Acer24 to Birthday,6,32C+LPS,Before,Noon,25,103,0.757,1
Porites astreoides ,Acer24 to Birthday,2,28C,Before,Dusk,40,158,0.746,0.887
Porites astreoides ,Acer24 to Birthday,2,28C,Before,Dusk,50,128,0.609,0.757
Porites astreoides ,Acer24 to Birthday,2,28C,Before,Dusk,43,224,0.808,0.909
Porites astreoides ,Acer24 to Birthday,4,28C,Before,Dusk,53,177,0.7,0.815
Porites astreoides ,Acer24 to Birthday,4,28C,Before,Dusk,38,158,0.759,0.902
Porites astreoides ,Acer24 to Birthday,4,28C,Before,Dusk,81,150,0.46,0.552
Porites astreoides ,Acer24 to Birthday,5,28C,Before,Dusk,41,183,0.775,0.898
Porites astreoides ,Acer24 to Birthday,5,28C,Before,Dusk,44,162,0.728,0.861
Porites astreoides ,Acer24 to Birthday,5,28C,Before,Dusk,42,190,0.778,0.896
Porites astreoides ,Acer24 to Birthday,6,28C,Before,Dusk,44,127,0.653,0.813
Porites astreoides ,Acer24 to Birthday,6,28C,Before,Dusk,52,156,0.666,0.793
Porites astreoides ,Acer24 to Birthday,6,28C,Before,Dusk,29,79,0.632,0.925
Porites astreoides ,Acer24 to Birthday,2,32C,Before,Dusk,25,119,0.789,1
Porites astreoides ,Acer24 to Birthday,2,32C,Before,Dusk,40,162,0.753,0.89
Porites astreoides ,Acer24 to Birthday,2,32C,Before,Dusk,44,173,0.745,0.871
Porites astreoides ,Acer24 to Birthday,4,32C,Before,Dusk,31,173,0.82,0.959
Porites astreoides ,Acer24 to Birthday,4,32C,Before,Dusk,28,150,0.813,0.976
Porites astreoides ,Acer24 to Birthday,4,32C,Before,Dusk,42,142,0.704,0.854
Porites astreoides ,Acer24 to Birthday,5,32C,Before,Dusk,34,150,0.773,0.928
Porites astreoides ,Acer24 to Birthday,5,32C,Before,Dusk,51,175,0.708,0.826
Porites astreoides ,Acer24 to Birthday,5,32C,Before,Dusk,52,160,0.675,0.8
Porites astreoides ,Acer24 to Birthday,6,32C,Before,Dusk,11,28,0.607,5.666
Porites astreoides ,Acer24 to Birthday,6,32C,Before,Dusk,22,108,0.796,1.036
Porites astreoides ,Acer24 to Birthday,6,32C,Before,Dusk,46,103,0.553,0.73
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Before,Dusk,43,145,0.703,0.85
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Before,Dusk,53,158,0.664,0.789
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Before,Dusk,33,120,0.725,0.915
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Before,Dusk,20,175,0.885,1.033
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Before,Dusk,75,110,0.318,0.411
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Before,Dusk,55,105,0.476,0.625
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Before,Dusk,39,171,0.771,0.904
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Before,Dusk,35,116,0.698,0.89
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Before,Dusk,36,177,0.796,0.927
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Before,Dusk,39,137,0.715,0.875
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Before,Dusk,39,172,0.773,0.904
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Before,Dusk,26,97,0.731,0.986
Porites astreoides ,Acer24 to Birthday,2,28C,Experiment,Noon,69,179,0.614,0.714
Porites astreoides ,Acer24 to Birthday,2,28C,Experiment,Noon,41,239,0.828,0.925
Porites astreoides ,Acer24 to Birthday,2,28C,Experiment,Noon,52,174,0.701,0.818
Porites astreoides ,Acer24 to Birthday,4,28C,Experiment,Noon,68,200,0.66,0.754
Porites astreoides ,Acer24 to Birthday,4,28C,Experiment,Noon,43,193,0.777,0.892
Porites astreoides ,Acer24 to Birthday,4,28C,Experiment,Noon,48,80,0.4,0.581
Porites astreoides ,Acer24 to Birthday,5,28C,Experiment,Noon,99,346,0.713,0.769
Porites astreoides ,Acer24 to Birthday,5,28C,Experiment,Noon,26,148,0.824,0.991
Porites astreoides ,Acer24 to Birthday,5,28C,Experiment,Noon,33,195,0.83,0.952
Porites astreoides ,Acer24 to Birthday,6,28C,Experiment,Noon,38,96,0.604,0.816
Porites astreoides ,Acer24 to Birthday,6,28C,Experiment,Noon,110,333,0.669,0.724
Porites astreoides ,Acer24 to Birthday,6,28C,Experiment,Noon,61,147,0.585,0.704
Porites astreoides ,Acer24 to Birthday,2,32C,Experiment,Noon,85,237,0.641,0.716
Porites astreoides ,Acer24 to Birthday,2,32C,Experiment,Noon,104,315,0.669,0.727
Porites astreoides ,Acer24 to Birthday,2,32C,Experiment,Noon,111,310,0.641,0.698
Porites astreoides ,Acer24 to Birthday,4,32C,Experiment,Noon,76,229,0.668,0.75
Porites astreoides ,Acer24 to Birthday,4,32C,Experiment,Noon,65,166,0.608,0.716
Porites astreoides ,Acer24 to Birthday,4,32C,Experiment,Noon,83,230,0.639,0.717
Porites astreoides ,Acer24 to Birthday,5,32C,Experiment,Noon,85,238,0.642,0.718
Porites astreoides ,Acer24 to Birthday,5,32C,Experiment,Noon,106,310,0.658,0.715
Porites astreoides ,Acer24 to Birthday,5,32C,Experiment,Noon,69,178,0.612,0.712
Porites astreoides ,Acer24 to Birthday,6,32C,Experiment,Noon,43,97,0.556,0.75
Porites astreoides ,Acer24 to Birthday,6,32C,Experiment,Noon,64,181,0.646,0.75
Porites astreoides ,Acer24 to Birthday,6,32C,Experiment,Noon,87,231,0.623,0.699
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Experiment,Noon,50,121,0.586,0.739
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Experiment,Noon,45,214,0.789,0.894
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Experiment,Noon,38,156,0.756,0.9
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Experiment,Noon,63,140,0.55,0.669
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Experiment,Noon,27,113,0.761,0.977
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Experiment,Noon,57,172,0.668,0.782
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Experiment,Noon,49,141,0.652,0.793
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Experiment,Noon,45,262,0.828,0.915
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Experiment,Noon,46,204,0.774,0.882
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Experiment,Noon,47,114,0.587,0.752
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Experiment,Noon,102,286,0.643,0.704
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Experiment,Noon,81,215,0.623,0.705
Porites astreoides,Acer24 to Birthday,7,28C,Before,Noon,72,219,0.671,0.757
Porites astreoides,Acer24 to Birthday,7,28C,Before,Noon,50,207,0.758,0.862
Porites astreoides,Acer24 to Birthday,7,28C,Before,Noon,41,188,0.781,0.901
Porites astreoides,Acer24 to Birthday,9,28C,Before,Noon,63,185,0.659,0.762
Porites astreoides,Acer24 to Birthday,9,28C,Before,Noon,24,135,0.822,1.009
Porites astreoides,Acer24 to Birthday,9,28C,Before,Noon,52,184,0.717,0.83
Porites astreoides,Acer24 to Birthday,10,28C,Before,Noon,50,225,0.777,0.875
Porites astreoides,Acer24 to Birthday,10,28C,Before,Noon,68,192,0.645,0.742
Porites astreoides,Acer24 to Birthday,10,28C,Before,Noon,49,197,0.751,0.86
Porites astreoides,Acer24 to Birthday,7,32C,Before,Noon,46,182,0.747,0.866
Porites astreoides,Acer24 to Birthday,7,32C,Before,Noon,38,173,0.78,0.912
Porites astreoides,Acer24 to Birthday,7,32C,Before,Noon,38,137,0.722,0.883
Porites astreoides,Acer24 to Birthday,9,32C,Before,Noon,45,155,0.709,0.846
Porites astreoides,Acer24 to Birthday,9,32C,Before,Noon,62,160,0.612,0.725
Porites astreoides,Acer24 to Birthday,9,32C,Before,Noon,23,90,0.744,1.03
Porites astreoides,Acer24 to Birthday,10,32C,Before,Noon,50,170,0.705,0.827
Porites astreoides,Acer24 to Birthday,10,32C,Before,Noon,48,188,0.744,0.858
Porites astreoides,Acer24 to Birthday,10,32C,Before,Noon,32,97,0.67,0.902
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Before,Noon,40,185,0.783,0.906
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Before,Noon,92,238,0.613,0.685
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Before,Noon,57,224,0.745,0.839
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Before,Noon,43,193,0.777,0.892
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Before,Noon,66,183,0.639,0.74
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Before,Noon,63,189,0.666,0.768
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Before,Noon,31,158,0.803,0.954
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Before,Noon,46,160,0.712,0.844
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Before,Noon,78,180,0.566,0.658
Porites astreoides ,Acer24 to Birthday,2,28C,Experiment,Dusk,49,172,0.715,0.836
Porites astreoides ,Acer24 to Birthday,2,28C,Experiment,Dusk,74,246,0.699,0.778
Porites astreoides ,Acer24 to Birthday,2,28C,Experiment,Dusk,91,300,0.696,0.76
Porites astreoides ,Acer24 to Birthday,4,28C,Experiment,Dusk,109,435,0.749,0.795
Porites astreoides ,Acer24 to Birthday,4,28C,Experiment,Dusk,60,192,0.687,0.79
Porites astreoides ,Acer24 to Birthday,4,28C,Experiment,Dusk,74,230,0.678,0.76
Porites astreoides ,Acer24 to Birthday,5,28C,Experiment,Dusk,71,283,0.749,0.821
Porites astreoides ,Acer24 to Birthday,5,28C,Experiment,Dusk,66,266,0.751,0.829
Porites astreoides ,Acer24 to Birthday,5,28C,Experiment,Dusk,62,194,0.68,0.781
Porites astreoides ,Acer24 to Birthday,6,28C,Experiment,Dusk,47,131,0.641,0.792
Porites astreoides ,Acer24 to Birthday,6,28C,Experiment,Dusk,70,255,0.725,0.804
Porites astreoides ,Acer24 to Birthday,6,28C,Experiment,Dusk,54,179,0.698,0.811
Porites astreoides ,Acer24 to Birthday,2,32C,Experiment,Dusk,80,245,0.673,0.75
Porites astreoides ,Acer24 to Birthday,2,32C,Experiment,Dusk,76,252,0.698,0.775
Porites astreoides ,Acer24 to Birthday,2,32C,Experiment,Dusk,74,254,0.708,0.786
Porites astreoides ,Acer24 to Birthday,4,32C,Experiment,Dusk,32,303,0.894,0.974
Porites astreoides ,Acer24 to Birthday,4,32C,Experiment,Dusk,66,221,0.701,0.79
Porites astreoides ,Acer24 to Birthday,4,32C,Experiment,Dusk,27,74,0.635,0.959
Porites astreoides ,Acer24 to Birthday,5,32C,Experiment,Dusk,51,191,0.732,0.843
Porites astreoides ,Acer24 to Birthday,5,32C,Experiment,Dusk,41,296,0.861,0.94
Porites astreoides ,Acer24 to Birthday,5,32C,Experiment,Dusk,54,201,0.731,0.835
Porites astreoides ,Acer24 to Birthday,6,32C,Experiment,Dusk,55,165,0.666,0.785
Porites astreoides ,Acer24 to Birthday,6,32C,Experiment,Dusk,52,203,0.743,0.848
Porites astreoides ,Acer24 to Birthday,6,32C,Experiment,Dusk,56,203,0.724,0.825
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Experiment,Dusk,43,137,0.686,0.839
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Experiment,Dusk,65,251,0.741,0.823
Porites astreoides,Acer24 to Birthday,2,32C+LPS,Experiment,Dusk,37,111,0.666,0.86
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Experiment,Dusk,51,196,0.739,0.847
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Experiment,Dusk,36,132,0.727,0.897
Porites astreoides,Acer24 to Birthday,4,32C+LPS,Experiment,Dusk,62,249,0.751,0.834
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Experiment,Dusk,50,170,0.705,0.827
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Experiment,Dusk,52,182,0.714,0.828
Porites astreoides,Acer24 to Birthday,5,32C+LPS,Experiment,Dusk,45,175,0.742,0.866
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Experiment,Dusk,39,140,0.721,0.878
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Experiment,Dusk,53,198,0.732,0.838
Porites astreoides,Acer24 to Birthday,6,32C+LPS,Experiment,Dusk,73,234,0.688,0.77
Porites astreoides,Acer24 to Birthday,7,28C,Before,Dusk,39,132,0.704,0.869
Porites astreoides,Acer24 to Birthday,7,28C,Before,Dusk,37,159,0.767,0.91
Porites astreoides,Acer24 to Birthday,7,28C,Before,Dusk,31,148,0.79,0.951
Porites astreoides,Acer24 to Birthday,9,28C,Before,Dusk,49,202,0.757,0.864
Porites astreoides,Acer24 to Birthday,9,28C,Before,Dusk,51,176,0.71,0.827
Porites astreoides,Acer24 to Birthday,10,28C,Before,Dusk,56,218,0.743,0.839
Porites astreoides,Acer24 to Birthday,10,28C,Before,Dusk,32,131,0.755,0.933
Porites astreoides,Acer24 to Birthday,10,28C,Before,Dusk,45,157,0.713,0.848
Porites astreoides,Acer24 to Birthday,7,32C,Before,Dusk,16,66,0.757,1.219
Porites astreoides,Acer24 to Birthday,7,32C,Before,Dusk,32,117,0.726,0.923
Porites astreoides,Acer24 to Birthday,7,32C,Before,Dusk,27,116,0.767,0.978
Porites astreoides,Acer24 to Birthday,9,32C,Before,Dusk,24,102,0.764,1.012
Porites astreoides,Acer24 to Birthday,9,32C,Before,Dusk,25,91,0.725,1
Porites astreoides,Acer24 to Birthday,9,32C,Before,Dusk,12,63,0.809,1.342
Porites astreoides,Acer24 to Birthday,10,32C,Before,Dusk,14,55,0.745,1.366
Porites astreoides,Acer24 to Birthday,10,32C,Before,Dusk,18,82,0.78,1.122
Porites astreoides,Acer24 to Birthday,10,32C,Before,Dusk,27,90,0.7,0.969
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Before,Dusk,13,66,0.803,1.292
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Before,Dusk,11,73,0.849,1.291
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Before,Dusk,19,79,0.759,1.111
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Before,Dusk,13,74,0.824,1.244
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Before,Dusk,18,115,0.843,1.077
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Before,Dusk,12,74,0.837,1.265
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Before,Dusk,10,59,0.83,1.441
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Before,Dusk,22,97,0.773,1.041
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Before,Dusk,23,127,0.818,1.019
Porites astreoides,Acer24 to Birthday,7,28C,Experiment,Noon,66,184,0.641,0.742
Porites astreoides,Acer24 to Birthday,7,28C,Experiment,Noon,65,178,0.634,0.738
Porites astreoides,Acer24 to Birthday,7,28C,Experiment,Noon,60,155,0.612,0.73
Porites astreoides,Acer24 to Birthday,9,28C,Experiment,Noon,54,209,0.741,0.842
Porites astreoides,Acer24 to Birthday,9,28C,Experiment,Noon,58,157,0.63,0.75
Porites astreoides,Acer24 to Birthday,10,28C,Experiment,Noon,71,261,0.727,0.805
Porites astreoides,Acer24 to Birthday,10,28C,Experiment,Noon,80,312,0.743,0.808
Porites astreoides,Acer24 to Birthday,10,28C,Experiment,Noon,49,130,0.623,0.771
Porites astreoides,Acer24 to Birthday,7,32C,Experiment,Noon,101,322,0.686,0.744
Porites astreoides,Acer24 to Birthday,7,32C,Experiment,Noon,64,163,0.607,0.717
Porites astreoides,Acer24 to Birthday,7,32C,Experiment,Noon,58,175,0.668,0.78
Porites astreoides,Acer24 to Birthday,9,32C,Experiment,Noon,46,138,0.666,0.814
Porites astreoides,Acer24 to Birthday,9,32C,Experiment,Noon,45,132,0.659,0.813
Porites astreoides,Acer24 to Birthday,9,32C,Experiment,Noon,50,144,0.652,0.789
Porites astreoides,Acer24 to Birthday,10,32C,Experiment,Noon,55,179,0.692,0.805
Porites astreoides,Acer24 to Birthday,10,32C,Experiment,Noon,63,193,0.673,0.773
Porites astreoides,Acer24 to Birthday,10,32C,Experiment,Noon,35,84,0.583,0.83
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Experiment,Noon,47,109,0.568,0.738
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Experiment,Noon,43,113,0.619,0.795
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Experiment,Noon,73,205,0.643,0.733
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Experiment,Noon,48,143,0.664,0.805
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Experiment,Noon,60,165,0.636,0.75
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Experiment,Noon,34,75,0.546,0.82
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Experiment,Noon,49,197,0.751,0.86
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Experiment,Noon,25,84,0.702,1
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Experiment,Noon,39,123,0.682,0.857
Porites astreoides,Acer24 to Birthday,7,28C,Experiment,Dusk,56,204,0.725,0.826
Porites astreoides,Acer24 to Birthday,7,28C,Experiment,Dusk,74,266,0.721,0.796
Porites astreoides,Acer24 to Birthday,7,28C,Experiment,Dusk,29,148,0.804,0.967
Porites astreoides,Acer24 to Birthday,9,28C,Experiment,Dusk,43,151,0.715,0.857
Porites astreoides,Acer24 to Birthday,9,28C,Experiment,Dusk,33,146,0.773,0.933
Porites astreoides,Acer24 to Birthday,10,28C,Experiment,Dusk,98,341,0.712,0.768
Porites astreoides,Acer24 to Birthday,10,28C,Experiment,Dusk,38,297,0.872,0.952
Porites astreoides,Acer24 to Birthday,10,28C,Experiment,Dusk,18,156,0.884,1.053
Porites astreoides,Acer24 to Birthday,7,32C,Experiment,Dusk,50,182,0.725,0.84
Porites astreoides,Acer24 to Birthday,7,32C,Experiment,Dusk,23,131,0.824,1.018
Porites astreoides,Acer24 to Birthday,7,32C,Experiment,Dusk,9,45,0.8,1.8
Porites astreoides,Acer24 to Birthday,9,32C,Experiment,Dusk,43,215,0.8,0.905
Porites astreoides,Acer24 to Birthday,9,32C,Experiment,Dusk,23,166,0.861,1.014
Porites astreoides,Acer24 to Birthday,9,32C,Experiment,Dusk,50,204,0.754,0.86
Porites astreoides,Acer24 to Birthday,10,32C,Experiment,Dusk,20,54,0.629,1.172
Porites astreoides,Acer24 to Birthday,10,32C,Experiment,Dusk,56,204,0.725,0.826
Porites astreoides,Acer24 to Birthday,10,32C,Experiment,Dusk,56,169,0.668,0.784
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Experiment,Dusk,23,64,0.64,1.051
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Experiment,Dusk,30,94,0.68,0.927
Porites astreoides,Acer24 to Birthday,7,32C+LPS,Experiment,Dusk,25,69,0.637,1
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Experiment,Dusk,28,99,0.717,0.959
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Experiment,Dusk,38,173,0.78,0.912
Porites astreoides,Acer24 to Birthday,9,32C+LPS,Experiment,Dusk,24,71,0.661,1.021
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Experiment,Dusk,43,139,0.69,0.842
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Experiment,Dusk,22,65,0.661,1.075
Porites astreoides,Acer24 to Birthday,10,32C+LPS,Experiment,Dusk,27,113,0.761,0.977
Porites astreoides,Birthday to Acer24,11,28C,Before,Noon,69,285,0.757,0.83
Porites astreoides,Birthday to Acer24,11,28C,Before,Noon,13,24,0.458,0
Porites astreoides,Birthday to Acer24,11,28C,Before,Noon,58,109,0.467,0.607
Porites astreoides,Birthday to Acer24,12,28C,Before,Noon,30,90,0.666,0.923
Porites astreoides,Birthday to Acer24,12,28C,Before,Noon,90,237,0.62,0.693
Porites astreoides,Birthday to Acer24,11,32C,Before,Noon,70,199,0.648,0.741
Porites astreoides,Birthday to Acer24,11,32C,Before,Noon,64,162,0.604,0.715
Porites astreoides,Birthday to Acer24,11,32C,Before,Noon,48,194,0.752,0.863
Porites astreoides,Birthday to Acer24,12,32C,Before,Noon,67,166,0.596,0.702
Porites astreoides,Birthday to Acer24,12,32C,Before,Noon,36,89,0.595,0.828
Porites astreoides,Birthday to Acer24,11,32C+LPS,Before,Noon,24,47,0.489,1.045
Porites astreoides,Birthday to Acer24,11,32C+LPS,Before,Noon,32,148,0.783,0.943
Porites astreoides,Birthday to Acer24,11,32C+LPS,Before,Noon,49,154,0.681,0.813
Porites astreoides,Birthday to Acer24,12,32C+LPS,Before,Noon,7,10,0.3,0
Porites astreoides,Birthday to Acer24,12,32C+LPS,Before,Noon,57,184,0.69,0.798
Porites astreoides,Birthday to Acer24,12,32C+LPS,Before,Noon,34,74,0.54,0.816
Porites astreoides,Birthday to Acer24,11,28C,Before,Dusk,45,185,0.756,0.875
Porites astreoides,Birthday to Acer24,11,28C,Before,Dusk,67,188,0.643,0.742
Porites astreoides,Birthday to Acer24,11,28C,Before,Dusk,70,251,0.721,0.8
Porites astreoides,Birthday to Acer24,12,28C,Before,Dusk,32,87,0.632,0.887
Porites astreoides,Birthday to Acer24,12,28C,Before,Dusk,73,245,0.702,0.781
Porites astreoides,Birthday to Acer24,11,32C,Before,Dusk,73,239,0.694,0.775
Porites astreoides,Birthday to Acer24,11,32C,Before,Dusk,47,173,0.728,0.851
Porites astreoides,Birthday to Acer24,11,32C,Before,Dusk,68,245,0.722,0.804
Porites astreoides,Birthday to Acer24,12,32C,Before,Dusk,33,109,0.697,0.904
Porites astreoides,Birthday to Acer24,12,32C,Before,Dusk,66,241,0.726,0.81
Porites astreoides,Birthday to Acer24,11,32C+LPS,Before,Dusk,25,81,0.691,1
Porites astreoides,Birthday to Acer24,11,32C+LPS,Before,Dusk,67,263,0.745,0.823
Porites astreoides,Birthday to Acer24,11,32C+LPS,Before,Dusk,51,182,0.719,0.834
Porites astreoides,Birthday to Acer24,12,32C+LPS,Before,Dusk,39,132,0.704,0.869
Porites astreoides,Birthday to Acer24,12,32C+LPS,Before,Dusk,63,366,0.827,0.888
Porites astreoides,Birthday to Acer24,12,32C+LPS,Before,Dusk,64,312,0.794,0.864
Porites astreoides,Birthday to Acer24,11,28C,Experiment,Noon,55,138,0.601,0.734
Porites astreoides,Birthday to Acer24,11,28C,Experiment,Noon,68,189,0.64,0.737
Porites astreoides,Birthday to Acer24,11,28C,Experiment,Noon,98,306,0.679,0.74
Porites astreoides,Birthday to Acer24,12,28C,Experiment,Noon,97,326,0.702,0.76
Porites astreoides,Birthday to Acer24,12,28C,Experiment,Noon,38,71,0.464,0.717
Porites astreoides,Birthday to Acer24,11,32C,Experiment,Noon,35,98,0.642,0.863
Porites astreoides,Birthday to Acer24,11,32C,Experiment,Noon,82,255,0.678,0.752
Porites astreoides,Birthday to Acer24,11,32C,Experiment,Noon,75,201,0.626,0.715
Porites astreoides,Birthday to Acer24,12,32C,Experiment,Noon,35,93,0.623,0.852
Porites astreoides,Birthday to Acer24,12,32C,Experiment,Noon,33,37,0.108,0.333
Porites astreoides,Birthday to Acer24,11,32C+LPS,Experiment,Noon,70,215,0.674,0.763
Porites astreoides,Birthday to Acer24,11,32C+LPS,Experiment,Noon,14,51,0.725,1.423
Porites astreoides,Birthday to Acer24,11,32C+LPS,Experiment,Noon,40,183,0.781,0.905
Porites astreoides,Birthday to Acer24,12,32C+LPS,Experiment,Noon,57,175,0.674,0.786
Porites astreoides,Birthday to Acer24,12,32C+LPS,Experiment,Noon,65,284,0.771,0.845
Porites astreoides,Birthday to Acer24,12,32C+LPS,Experiment,Noon,36,197,0.817,0.936
Porites astreoides,Birthday to Acer24,11,28C,Experiment,Dusk,50,106,0.528,0.691
Porites astreoides,Birthday to Acer24,11,28C,Experiment,Dusk,57,209,0.727,0.826
Porites astreoides,Birthday to Acer24,11,28C,Experiment,Dusk,55,180,0.694,0.806
Porites astreoides,Birthday to Acer24,12,28C,Experiment,Dusk,49,162,0.697,0.824
Porites astreoides,Birthday to Acer24,12,28C,Experiment,Dusk,71,263,0.73,0.806
Porites astreoides,Birthday to Acer24,11,32C,Experiment,Dusk,53,208,0.745,0.846
Porites astreoides,Birthday to Acer24,11,32C,Experiment,Dusk,47,191,0.753,0.867
Porites astreoides,Birthday to Acer24,11,32C,Experiment,Dusk,23,14,0,0
Porites astreoides,Birthday to Acer24,12,32C,Experiment,Dusk,42,67,0.373,0.595
Porites astreoides,Birthday to Acer24,12,32C,Experiment,Dusk,10,16,0.375,0
Porites astreoides,Birthday to Acer24,11,32C+LPS,Experiment,Dusk,12,51,0.764,1.5
Porites astreoides,Birthday to Acer24,11,32C+LPS,Experiment,Dusk,6,36,0.833,2.727
Porites astreoides,Birthday to Acer24,11,32C+LPS,Experiment,Dusk,8,70,0.885,1.377
Porites astreoides,Birthday to Acer24,12,32C+LPS,Experiment,Dusk,8,34,0.764,2.888
Porites astreoides,Birthday to Acer24,12,32C+LPS,Experiment,Dusk,16,39,0.589,1.642
Porites astreoides,Birthday to Acer24,12,32C+LPS,Experiment,Dusk,15,94,0.84,1.144
Porites astreoides,Birthday to Acer24,13,28C,Before,Noon,53,80,0.337,0.49
Porites astreoides,Birthday to Acer24,13,28C,Before,Noon,45,187,0.759,0.876
Porites astreoides,Birthday to Acer24,13,28C,Before,Noon,37,100,0.63,0.84
Porites astreoides,Birthday to Acer24,14,28C,Before,Noon,26,36,0.277,0.909
Porites astreoides,Birthday to Acer24,14,28C,Before,Noon,20,48,0.583,1.217
Porites astreoides,Birthday to Acer24,14,28C,Before,Noon,25,52,0.519,1
Porites astreoides,Birthday to Acer24,15,28C,Before,Noon,24,73,0.671,1.02
Porites astreoides,Birthday to Acer24,15,28C,Before,Noon,29,69,0.579,0.909
Porites astreoides,Birthday to Acer24,15,28C,Before,Noon,30,66,0.545,0.878
Porites astreoides,Birthday to Acer24,16,28C,Before,Noon,36,88,0.59,0.825
Porites astreoides,Birthday to Acer24,16,28C,Before,Noon,31,71,0.563,0.869
Porites astreoides,Birthday to Acer24,16,28C,Before,Noon,31,74,0.581,0.877
Porites astreoides,Birthday to Acer24,17,28C,Before,Noon,33,73,0.547,0.833
Porites astreoides,Birthday to Acer24,17,28C,Before,Noon,29,92,0.684,0.94
Porites astreoides,Birthday to Acer24,17,28C,Before,Noon,29,75,0.613,0.92
Porites astreoides,Birthday to Acer24,19,28C,Before,Noon,23,75,0.693,1.04
Porites astreoides,Birthday to Acer24,19,28C,Before,Noon,32,70,0.542,0.844
Porites astreoides,Birthday to Acer24,19,28C,Before,Noon,20,66,0.696,1.121
